scaffold,start,end,mid,sites,pi_Arctoides,pi_Sinica,pi_Nemestrina,pi_Fascicularis,dxy_Arctoides_Sinica,dxy_Arctoides_Nemestrina,dxy_Arctoides_Fascicularis,dxy_Sinica_Nemestrina,dxy_Sinica_Fascicularis,dxy_Nemestrina_Fascicularis,Fst_Arctoides_Sinica,Fst_Arctoides_Nemestrina,Fst_Arctoides_Fascicularis,Fst_Sinica_Nemestrina,Fst_Sinica_Fascicularis,Fst_Nemestrina_Fascicularis
chr10,84254015,84377375,84307609,959,0.0205,0.0761,0.1356,0.0977,0.1304,0.2565,0.2363,0.2521,0.2335,0.2332,0.4811,0.555,0.5913,0.4296,0.4665,0.3505
chr10,84516763,84573296,84547282,610,0.0786,0.1008,0.1489,0.0794,0.1422,0.2205,0.1781,0.2055,0.1659,0.1946,0.2418,0.3386,0.3979,0.2604,0.3107,0.2798
chr10,84645173,84655279,84651355,99,0.1056,0.0811,0.1526,0.0996,0.26,0.2988,0.2074,0.1965,0.2111,0.228,0.4933,0.4176,0.3509,0.2712,0.41,0.3053
chr10,84650899,84668454,84657699,195,0.1547,0.1048,0.1586,0.0446,0.2248,0.3044,0.309,0.2544,0.2538,0.2165,0.2854,0.3396,0.546,0.337,0.573,0.3933
chr10,84706922,84717033,84712629,100,0.1008,0.1455,0.1232,0.1101,0.1681,0.2131,0.223,0.234,0.2401,0.2586,0.1663,0.33,0.3687,0.2882,0.321,0.3928
chr10,84723785,84762224,84744260,343,0.0483,0.0803,0.1246,0.0919,0.1423,0.2882,0.2209,0.231,0.1668,0.2262,0.3981,0.56,0.5207,0.4063,0.3287,0.3702
chr10,84743469,84753625,84753770,182,0.0504,0.083,0.1323,0.0855,0.1553,0.2887,0.2323,0.2183,0.1684,0.2177,0.4199,0.5409,0.5515,0.3592,0.3444,0.3522
chr10,84752528,84762678,84758161,129,0.0517,0.0886,0.13,0.0951,0.163,0.2744,0.1947,0.2175,0.1501,0.2261,0.4193,0.5242,0.4555,0.3509,0.2501,0.3526
chr10,84755906,84798884,84775071,560,0.0577,0.1093,0.1295,0.1065,0.1559,0.2666,0.2236,0.2477,0.1913,0.2147,0.3211,0.5019,0.4657,0.3694,0.2899,0.3047
chr10,84834563,84873436,84850839,369,0.1007,0.103,0.1329,0.0656,0.1856,0.2319,0.1967,0.2187,0.1583,0.2126,0.3096,0.3496,0.4262,0.3178,0.3236,0.3879
chr10,84905333,84915433,84910816,113,0.0758,0.0787,0.1502,0.0997,0.1219,0.1844,0.1964,0.1873,0.1882,0.2197,0.2398,0.2563,0.3903,0.2579,0.3654,0.2917
chr10,84935557,85014629,84963526,707,0.065,0.0656,0.118,0.1083,0.0943,0.2828,0.1997,0.2822,0.1992,0.2739,0.1947,0.5327,0.3992,0.5309,0.397,0.43
chr10,85015576,85174116,85085698,1824,0.0376,0.0897,0.1419,0.1016,0.1459,0.2361,0.1822,0.2234,0.1796,0.2141,0.4133,0.4706,0.4444,0.3363,0.3144,0.2905
chr10,85191573,85220221,85204086,206,0.0838,0.1054,0.1166,0.105,0.142,0.2118,0.1777,0.2021,0.1702,0.1708,0.2147,0.3781,0.3143,0.3093,0.2457,0.2234
chr10,85271027,85293248,85277758,207,0.034,0.1046,0.1347,0.0738,0.1442,0.2477,0.2747,0.1781,0.205,0.1801,0.3711,0.5137,0.6725,0.2104,0.4126,0.2859
chr10,85291326,85313777,85305759,278,0.0725,0.0918,0.1295,0.0958,0.1305,0.2328,0.1784,0.2027,0.1451,0.2058,0.243,0.416,0.3669,0.3122,0.2235,0.3083
chr10,85305457,85337797,85319692,516,0.0958,0.097,0.1203,0.1079,0.1421,0.25,0.2109,0.2152,0.177,0.2117,0.2055,0.4175,0.359,0.3485,0.2757,0.3125
chr10,85339320,85492233,85411270,2626,0.0678,0.1031,0.1242,0.1011,0.1433,0.2138,0.1772,0.2088,0.1694,0.1894,0.2698,0.4009,0.3606,0.3135,0.2585,0.2673
chr10,85563274,85653159,85607007,927,0.0375,0.1098,0.1263,0.0988,0.159,0.2035,0.1864,0.1886,0.1714,0.1813,0.3874,0.4476,0.4623,0.2459,0.2547,0.2468
chr10,85657330,85977213,85793923,2359,0.0523,0.0852,0.1428,0.0909,0.1431,0.2163,0.1695,0.2083,0.1619,0.2006,0.3709,0.399,0.4099,0.3109,0.3058,0.2808
chr10,85978981,86026753,85996911,789,0.0322,0.0903,0.1265,0.1084,0.2,0.2362,0.1992,0.215,0.1724,0.1947,0.5528,0.5188,0.473,0.3492,0.2768,0.2596
chr10,86035451,86056481,86046256,221,0.0564,0.0792,0.1178,0.098,0.2144,0.2278,0.1801,0.2306,0.1854,0.2086,0.5412,0.4684,0.4038,0.4223,0.362,0.3328
chr10,86074464,86111072,86092643,477,0.0424,0.1196,0.1526,0.0821,0.1608,0.2403,0.2073,0.2217,0.1651,0.2232,0.3496,0.4439,0.5401,0.2553,0.2566,0.3318
chr10,86105707,86162695,86134451,833,0.1005,0.1241,0.145,0.0893,0.1729,0.2357,0.195,0.2122,0.1656,0.208,0.2274,0.3343,0.3594,0.2395,0.2299,0.2976
chr10,86151420,86324791,86245190,2132,0.0912,0.0993,0.1322,0.0926,0.1473,0.1929,0.1642,0.177,0.1496,0.1767,0.2296,0.2837,0.2932,0.224,0.2287,0.2362
chr10,86328045,86364327,86347013,407,0.0354,0.1216,0.1242,0.0883,0.1764,0.234,0.2002,0.1816,0.1565,0.1771,0.4049,0.5131,0.5266,0.2066,0.2095,0.2649
chr10,86621768,86638437,86629478,182,0.0556,0.1243,0.1349,0.096,0.1851,0.2405,0.2038,0.2002,0.1339,0.1697,0.366,0.4542,0.4616,0.2291,0.104,0.2024
chr10,87021416,87158031,87090729,2127,0.0672,0.12,0.1286,0.0957,0.163,0.1996,0.16,0.1877,0.1564,0.1656,0.2879,0.3618,0.3316,0.2176,0.1943,0.2041
chr10,87294450,87326405,87312730,429,0.0472,0.0973,0.1379,0.0683,0.1119,0.2714,0.2375,0.2579,0.2141,0.2431,0.2303,0.513,0.6155,0.3942,0.4619,0.4295
chr10,87327481,87355638,87339216,575,0.0595,0.0796,0.132,0.0875,0.1154,0.2032,0.1879,0.1859,0.1646,0.1885,0.2647,0.3797,0.4441,0.2923,0.3369,0.2804
chr10,87332499,87342565,87342524,421,0.0619,0.0787,0.1248,0.0855,0.1131,0.2173,0.2029,0.1936,0.1771,0.1945,0.2488,0.4199,0.4748,0.3298,0.3776,0.3153
chr10,87419530,87443737,87431126,167,0.0724,0.1463,0.1263,0.0636,0.1852,0.1959,0.1271,0.2076,0.1602,0.1508,0.2747,0.3466,0.3163,0.2221,0.2273,0.2454
chr10,87454635,87495207,87475173,443,0.03,0.1247,0.1547,0.0814,0.1753,0.2853,0.1871,0.2636,0.1592,0.2326,0.4087,0.5328,0.5388,0.3262,0.2288,0.3489
chr10,87489323,87562185,87524775,365,0.029,0.0937,0.1516,0.1045,0.1035,0.2334,0.1388,0.227,0.1356,0.2401,0.2725,0.4637,0.3451,0.317,0.1614,0.3216
chr10,87552288,87584885,87569113,240,0.0968,0.1375,0.118,0.0868,0.1669,0.2228,0.1611,0.1942,0.1486,0.1803,0.1879,0.3695,0.2865,0.221,0.1504,0.2909
chr10,87640278,87749980,87694663,1566,0.0633,0.1208,0.145,0.0938,0.1599,0.2175,0.1551,0.2182,0.1672,0.2007,0.2867,0.3725,0.3335,0.2593,0.2309,0.2705
chr10,87761226,87771328,87769598,66,0.0,0.0849,0.1095,0.1093,0.1981,0.2834,0.2459,0.1672,0.1305,0.1761,0.6667,0.6949,0.6176,0.2821,0.1512,0.2433
chr10,87808577,87992439,87908340,1368,0.034,0.0934,0.1434,0.0837,0.1041,0.2413,0.2062,0.2464,0.213,0.225,0.2572,0.4841,0.5546,0.3708,0.4276,0.3497
chr10,88058520,88125214,88088888,1055,0.0626,0.0848,0.1263,0.1016,0.1264,0.219,0.1896,0.1929,0.1728,0.1996,0.2802,0.4182,0.4004,0.311,0.3079,0.2872
chr10,88229222,88241482,88236677,131,0.0326,0.0645,0.1422,0.0978,0.0778,0.1968,0.2505,0.2051,0.2431,0.2694,0.2475,0.406,0.5833,0.3494,0.5056,0.4029
chr10,88288990,88299064,88292957,280,0.0462,0.0855,0.1173,0.1078,0.1576,0.3069,0.2396,0.2524,0.2236,0.2167,0.4317,0.6005,0.5131,0.4482,0.4053,0.3294
chr10,88289907,88299990,88294223,253,0.0368,0.0881,0.1297,0.0981,0.1617,0.2909,0.2451,0.2344,0.217,0.1836,0.4644,0.5763,0.566,0.386,0.4105,0.2477
chr10,88319326,88438969,88391617,1162,0.0852,0.1161,0.1171,0.0901,0.1472,0.1964,0.1967,0.1985,0.1902,0.185,0.2016,0.3393,0.3953,0.2772,0.3122,0.2972
chr10,88427867,88443489,88434078,390,0.0561,0.1179,0.1371,0.0888,0.1247,0.1901,0.1811,0.1983,0.1931,0.1745,0.1915,0.3454,0.4339,0.2325,0.3184,0.2284
chr10,88458574,88493984,88476120,473,0.0681,0.1009,0.1238,0.0849,0.1314,0.2703,0.1656,0.2569,0.1534,0.2375,0.2326,0.498,0.377,0.4125,0.2581,0.4089
chr10,88488216,88533357,88513817,545,0.0438,0.1064,0.1469,0.0904,0.1415,0.1934,0.1365,0.1965,0.1405,0.1889,0.3254,0.3594,0.342,0.2315,0.1861,0.2445
chr10,88528386,88562056,88546252,548,0.0814,0.1254,0.1247,0.0999,0.1808,0.2208,0.1879,0.2148,0.1735,0.195,0.2899,0.3839,0.358,0.2812,0.2245,0.283
chr10,88557345,88753483,88642928,3261,0.0664,0.1106,0.1307,0.1033,0.1465,0.2078,0.1824,0.1953,0.1657,0.1899,0.2635,0.3769,0.3703,0.2524,0.2257,0.2508
chr10,88776125,88968977,88873127,2983,0.0817,0.1046,0.1338,0.1028,0.1429,0.2209,0.1719,0.2004,0.1513,0.2063,0.2259,0.3643,0.3095,0.2709,0.1951,0.2856
chr10,88916989,88985676,88949828,978,0.0794,0.1114,0.1353,0.1067,0.1549,0.2343,0.1744,0.2127,0.151,0.2115,0.2538,0.392,0.311,0.2834,0.1691,0.2863
chr10,88999367,89417162,89237671,7952,0.0668,0.1087,0.1398,0.102,0.1478,0.2069,0.1654,0.2023,0.1609,0.191,0.2718,0.3537,0.3296,0.2554,0.2185,0.2384
chr10,90589154,90774353,90676659,4676,0.0844,0.1114,0.1335,0.1019,0.1616,0.2131,0.1792,0.2028,0.1685,0.1832,0.2619,0.3429,0.3247,0.2637,0.2353,0.2302
chr10,91770082,91780378,91772714,159,0.034,0.1505,0.1345,0.1104,0.1561,0.168,0.1319,0.1991,0.1583,0.1626,0.274,0.3515,0.2886,0.1781,0.1032,0.149
chr10,91801427,91859729,91828274,1201,0.0477,0.0891,0.1394,0.0776,0.126,0.2351,0.2027,0.2227,0.1866,0.2118,0.3148,0.4522,0.5328,0.341,0.3976,0.3435
chr10,91912359,91925875,91919440,117,0.0601,0.1013,0.0994,0.0848,0.1495,0.2928,0.3188,0.2282,0.2433,0.2165,0.3173,0.5931,0.6367,0.41,0.4631,0.4189
chr10,91924896,91960933,91947684,409,0.0328,0.0879,0.1677,0.0773,0.0852,0.2344,0.1614,0.2341,0.1622,0.2316,0.1833,0.422,0.4904,0.312,0.339,0.3315
chr10,91951090,91973618,91962707,364,0.034,0.0745,0.141,0.0757,0.1143,0.2986,0.2397,0.2717,0.1991,0.2357,0.3765,0.5684,0.6279,0.4535,0.4651,0.3933
chr10,92049520,92091799,92069751,766,0.0229,0.0937,0.1572,0.1122,0.1635,0.2264,0.1849,0.2026,0.1502,0.2086,0.496,0.4523,0.4556,0.2511,0.1928,0.2286
chr10,92086475,92123204,92104994,671,0.0555,0.0848,0.1537,0.1026,0.1472,0.1945,0.1458,0.1954,0.1556,0.1997,0.3745,0.3191,0.2993,0.2582,0.2558,0.2327
chr10,92116315,92198982,92158066,949,0.0353,0.106,0.1465,0.0798,0.1478,0.2144,0.1843,0.1975,0.1635,0.1963,0.3732,0.4257,0.5238,0.2354,0.2904,0.2882
chr10,92196090,92214288,92206481,340,0.0233,0.0791,0.1705,0.1077,0.1204,0.237,0.1949,0.2157,0.1722,0.2438,0.4242,0.4409,0.4885,0.2843,0.3033,0.291
chr10,92210817,92235905,92222741,409,0.012,0.0709,0.1658,0.1206,0.1423,0.2647,0.2249,0.2574,0.2065,0.2396,0.5706,0.519,0.5304,0.3907,0.3704,0.2664
chr10,92226882,92257608,92242608,511,0.0123,0.1096,0.1579,0.0891,0.1296,0.2783,0.2585,0.2659,0.2353,0.2519,0.3809,0.5534,0.6612,0.3502,0.4229,0.3636
chr10,92244062,92279964,92259784,504,0.0108,0.1088,0.1603,0.0682,0.1375,0.275,0.245,0.2598,0.2217,0.2592,0.4149,0.5472,0.7133,0.3369,0.4509,0.4154
chr10,92270869,92286537,92280692,270,0.0094,0.1096,0.1412,0.088,0.1816,0.2175,0.1703,0.2298,0.1833,0.1974,0.5281,0.5074,0.5414,0.3122,0.3144,0.2828
chr10,92278735,92297784,92288398,489,0.0233,0.1028,0.1509,0.0976,0.1956,0.2192,0.1838,0.22,0.1868,0.2006,0.5344,0.4527,0.4975,0.2859,0.314,0.2506
chr10,92291200,92306521,92298381,397,0.0616,0.0563,0.1526,0.1036,0.19,0.2315,0.1896,0.2165,0.1838,0.2374,0.5483,0.3878,0.3976,0.3692,0.3969,0.3164
chr10,92300117,92344213,92320692,979,0.0342,0.0531,0.1576,0.0995,0.1232,0.2498,0.21,0.2366,0.1838,0.2544,0.4984,0.4666,0.5134,0.4046,0.4159,0.3478
chr10,92336719,92365114,92348012,431,0.0343,0.0506,0.156,0.0862,0.0921,0.2658,0.2798,0.2524,0.2311,0.2578,0.3896,0.4946,0.6443,0.4406,0.5476,0.3833
chr10,92392003,92402290,92394726,29,0.0522,0.0204,0.1057,0.0721,0.1218,0.3272,0.363,0.214,0.2356,0.2209,0.5622,0.6315,0.7138,0.5663,0.6667,0.4458
chr10,92414321,92472497,92449206,758,0.0235,0.0681,0.1466,0.1178,0.1251,0.2547,0.225,0.239,0.2053,0.2508,0.4858,0.521,0.5128,0.4007,0.3804,0.3247
chr10,92418700,92428800,92451001,718,0.024,0.0685,0.1472,0.1151,0.1213,0.2575,0.2262,0.2445,0.2054,0.2532,0.4696,0.5227,0.5206,0.4087,0.3864,0.3331
chr10,92465261,92501126,92482530,699,0.017,0.0732,0.1645,0.0902,0.1399,0.27,0.1977,0.2657,0.1869,0.268,0.534,0.5187,0.5637,0.4026,0.4008,0.3781
chr10,92496483,92506752,92502410,160,0.0131,0.0646,0.1435,0.1376,0.1893,0.2419,0.2432,0.1957,0.1856,0.234,0.6787,0.5327,0.5123,0.3246,0.2954,0.2602
chr10,92503333,92517973,92507640,195,0.0185,0.0985,0.1626,0.11,0.1826,0.2934,0.2494,0.2239,0.179,0.2517,0.5366,0.55,0.5798,0.2807,0.2729,0.3149
chr10,92520958,92535407,92527591,168,0.0116,0.1199,0.1661,0.0894,0.2046,0.2836,0.2767,0.2377,0.212,0.2539,0.5354,0.5445,0.6804,0.2654,0.356,0.3523
chr10,92526027,92552360,92540784,497,0.011,0.12,0.1413,0.105,0.1657,0.2417,0.2135,0.2197,0.1849,0.2366,0.4551,0.5424,0.5591,0.271,0.2552,0.3317
chr10,92542934,92556779,92548398,270,0.0072,0.099,0.1544,0.1048,0.1806,0.2738,0.2153,0.2058,0.1614,0.2351,0.567,0.5657,0.5717,0.254,0.2346,0.3063
chr10,92547353,92559088,92550907,147,0.0069,0.0777,0.1437,0.1182,0.1862,0.2844,0.2271,0.2088,0.1669,0.2291,0.6497,0.6022,0.5517,0.3259,0.265,0.286
chr10,92588301,92609089,92599276,241,0.0132,0.1311,0.1508,0.0809,0.17,0.311,0.2015,0.2729,0.1526,0.2802,0.4253,0.6038,0.611,0.3381,0.1937,0.439
chr10,92644294,92662609,92654231,144,0.02,0.0836,0.1754,0.0875,0.1068,0.2676,0.1872,0.2533,0.1468,0.2763,0.3668,0.4868,0.546,0.3426,0.2736,0.379
chr10,92698888,92708992,92705229,46,0.1116,0.0299,0.1186,0.0537,0.1855,0.2461,0.152,0.1338,0.0715,0.1528,0.4694,0.3831,0.3178,0.3043,0.2648,0.3015
chr10,92707864,92772442,92742105,1020,0.0697,0.1012,0.1523,0.0834,0.1569,0.2593,0.1707,0.248,0.1758,0.2275,0.3131,0.4215,0.3903,0.343,0.3261,0.3386
chr10,92719783,92729887,92748865,810,0.0668,0.1019,0.1517,0.0791,0.1585,0.2603,0.1713,0.2547,0.1841,0.2307,0.3241,0.4299,0.4129,0.3548,0.3571,0.3556
chr10,92769982,92788562,92778592,256,0.0687,0.1264,0.177,0.069,0.147,0.2383,0.1441,0.2337,0.1411,0.2262,0.2166,0.3388,0.3656,0.2277,0.1963,0.3206
chr10,92795144,92817578,92808058,223,0.0583,0.1517,0.1351,0.0922,0.1754,0.2644,0.1435,0.2861,0.2058,0.252,0.2677,0.4861,0.3165,0.3518,0.273,0.3975
chr11,47266,177807,118063,1759,0.0286,0.1251,0.1341,0.1087,0.1683,0.2272,0.1892,0.2268,0.181,0.2239,0.3937,0.4943,0.4609,0.2903,0.2263,0.3113
chr11,212100,379121,278457,2099,0.0244,0.1182,0.1774,0.0744,0.1489,0.2285,0.154,0.2305,0.1714,0.2097,0.3726,0.4082,0.5103,0.2339,0.2983,0.2719
chr11,382856,432527,414355,312,0.062,0.1063,0.1439,0.0999,0.1776,0.2326,0.2016,0.2118,0.1897,0.1991,0.3771,0.407,0.4321,0.2741,0.308,0.2552
chr11,441109,562814,508255,1406,0.058,0.1057,0.1466,0.0986,0.1552,0.2475,0.1831,0.2242,0.1623,0.2203,0.3284,0.4363,0.405,0.2977,0.2379,0.302
chr11,577227,587287,581526,152,0.046,0.1056,0.1597,0.0745,0.2096,0.2221,0.1564,0.2414,0.1717,0.1736,0.4906,0.3876,0.449,0.309,0.3288,0.2119
chr11,738540,927581,838133,1636,0.0438,0.0819,0.1363,0.0734,0.1288,0.3581,0.3054,0.3441,0.292,0.2405,0.364,0.6189,0.6819,0.5403,0.5947,0.4163
chr11,766506,776632,852642,1408,0.0441,0.0831,0.1317,0.0762,0.1314,0.36,0.3142,0.3456,0.2977,0.2418,0.3676,0.6279,0.6821,0.5474,0.5923,0.421
chr11,894860,941077,911206,378,0.0538,0.1149,0.1094,0.0864,0.1748,0.3393,0.3047,0.3332,0.2886,0.2083,0.3692,0.6327,0.6308,0.5182,0.5013,0.377
chr11,1031512,1552773,1317366,5401,0.0675,0.0948,0.1569,0.0941,0.155,0.2297,0.1801,0.236,0.183,0.2165,0.332,0.3636,0.3879,0.3231,0.331,0.284
chr11,1626547,1667357,1647584,525,0.0196,0.1092,0.1126,0.1135,0.1725,0.2486,0.1966,0.2531,0.2074,0.2422,0.478,0.601,0.4837,0.4115,0.3122,0.376
chr11,1773023,1882862,1838725,908,0.0842,0.1133,0.144,0.0879,0.1383,0.2311,0.2021,0.219,0.1931,0.1904,0.1796,0.3587,0.4149,0.277,0.3306,0.2595
chr11,1879360,2022079,1933070,1769,0.0172,0.1143,0.1515,0.0905,0.175,0.2155,0.1785,0.2073,0.1633,0.1921,0.4756,0.459,0.5269,0.2338,0.2417,0.2432
chr11,2041681,2111396,2077266,702,0.008,0.0888,0.1639,0.0946,0.1148,0.202,0.1538,0.197,0.1575,0.204,0.428,0.424,0.4846,0.2335,0.2735,0.2407
chr11,2566189,2814037,2695137,4056,0.0562,0.1119,0.1325,0.1113,0.1675,0.2304,0.177,0.2256,0.1703,0.2142,0.3514,0.4404,0.3594,0.3159,0.2171,0.2881
chr11,2920495,2940169,2929499,227,0.0449,0.0956,0.1305,0.0817,0.1522,0.2568,0.1961,0.2288,0.2032,0.2723,0.3888,0.5124,0.5151,0.3582,0.408,0.4607
chr11,2937505,2960603,2950773,282,0.0889,0.1112,0.1116,0.0973,0.1596,0.2664,0.1925,0.2659,0.1832,0.2499,0.2449,0.4748,0.3588,0.4306,0.2872,0.4259
chr11,2952985,2972565,2960971,221,0.0985,0.1214,0.1052,0.0849,0.1764,0.2561,0.1993,0.2485,0.1837,0.1894,0.2478,0.4522,0.3848,0.3942,0.2971,0.347
chr11,2970751,2989645,2981446,211,0.0246,0.1091,0.1413,0.0846,0.2059,0.2198,0.1417,0.2246,0.1807,0.1905,0.5315,0.4735,0.4382,0.3022,0.3177,0.2732
chr11,2980583,3014266,2994548,233,0.0418,0.1164,0.1323,0.0772,0.2335,0.235,0.1754,0.215,0.1892,0.1883,0.5156,0.4811,0.4963,0.2845,0.3413,0.3042
chr11,3004482,3031207,3019179,158,0.0532,0.1274,0.1397,0.0542,0.2049,0.2774,0.2129,0.2592,0.1735,0.1677,0.4092,0.5059,0.6098,0.3392,0.3378,0.2914
chr11,3021335,3087991,3052820,392,0.0418,0.1271,0.1266,0.0826,0.2149,0.2712,0.2201,0.2271,0.1766,0.1785,0.4573,0.5477,0.561,0.3013,0.2712,0.2776
chr11,3049538,3059647,3071533,196,0.0228,0.1356,0.1239,0.0938,0.2115,0.2196,0.1704,0.209,0.1655,0.1732,0.4767,0.521,0.4829,0.2498,0.1932,0.2414
chr11,3090930,3101018,3096917,29,0.0136,0.13,0.1667,0.0652,0.1651,0.1295,0.0745,0.2301,0.1686,0.1406,0.415,0.1925,0.3009,0.231,0.2872,0.1067
chr11,3096867,3193635,3153619,863,0.0308,0.0854,0.1299,0.1082,0.1641,0.2184,0.1764,0.2133,0.1717,0.2,0.4987,0.4836,0.4291,0.3487,0.2867,0.2666
chr11,3224697,3440500,3349449,3229,0.0808,0.1168,0.1325,0.0948,0.16,0.2125,0.1653,0.2029,0.1555,0.1931,0.2526,0.3511,0.3152,0.2551,0.201,0.2741
chr11,3520172,3740063,3645648,2444,0.0683,0.1052,0.1401,0.1001,0.1487,0.2027,0.1632,0.1853,0.1539,0.1888,0.2805,0.3403,0.3255,0.2178,0.2094,0.2362
chr11,3753078,3895704,3819759,1881,0.0454,0.1127,0.143,0.0986,0.1502,0.2348,0.1748,0.2248,0.1651,0.2074,0.3294,0.4489,0.417,0.2928,0.2305,0.2798
chr11,3858608,3868714,3879017,474,0.0809,0.0922,0.1714,0.0977,0.1402,0.2488,0.1668,0.2332,0.1488,0.2169,0.2529,0.3467,0.3109,0.2957,0.2296,0.2514
chr11,3945542,4007613,3965189,382,0.0618,0.1052,0.1477,0.0743,0.1485,0.2551,0.1704,0.2476,0.1713,0.2263,0.2982,0.4392,0.4391,0.3433,0.3294,0.3652
chr11,4479607,4515879,4496001,187,0.0359,0.0539,0.1779,0.0691,0.1907,0.2828,0.2225,0.2692,0.2302,0.1934,0.6392,0.473,0.6204,0.4193,0.5872,0.2416
chr11,4644215,4697595,4669320,557,0.0095,0.0877,0.1607,0.0996,0.1361,0.2513,0.1449,0.2471,0.1593,0.2383,0.4951,0.5157,0.4385,0.3505,0.268,0.3119
chr11,4687921,4718549,4704770,348,0.0136,0.0602,0.1458,0.1044,0.2205,0.2723,0.2391,0.2317,0.189,0.2077,0.731,0.5687,0.5921,0.4053,0.3972,0.2629
chr11,4712076,4779325,4742053,837,0.0633,0.1059,0.145,0.1015,0.1677,0.2402,0.1983,0.2367,0.1911,0.2273,0.3488,0.416,0.4181,0.3259,0.3084,0.3135
chr11,4765652,4813984,4790682,372,0.0669,0.0846,0.1324,0.0965,0.1288,0.1985,0.1658,0.1753,0.1449,0.1764,0.2767,0.3512,0.346,0.2513,0.2387,0.2259
chr11,4807892,4856544,4829831,353,0.0477,0.1114,0.146,0.0868,0.1886,0.2289,0.1786,0.2076,0.1539,0.2021,0.4279,0.4265,0.4558,0.2508,0.2288,0.2872
chr11,4977965,5029418,5003437,675,0.0742,0.1193,0.1274,0.1083,0.1611,0.2008,0.1711,0.19,0.1752,0.1789,0.266,0.3511,0.31,0.2275,0.2226,0.2165
chr11,5081130,5099704,5091912,263,0.0813,0.0587,0.1314,0.1001,0.194,0.2307,0.2312,0.1651,0.1809,0.1972,0.4913,0.3894,0.4459,0.2869,0.3937,0.2744
chr11,5213179,5224997,5218703,171,0.0564,0.1291,0.1391,0.1108,0.1295,0.2069,0.1422,0.1914,0.1475,0.1998,0.1778,0.3786,0.2608,0.1891,0.1091,0.2432
chr11,5616999,5694131,5655591,1257,0.0588,0.1211,0.1291,0.0972,0.1768,0.2196,0.1922,0.219,0.1837,0.2073,0.3446,0.4216,0.4272,0.2905,0.2678,0.3094
chr11,5751142,6161893,5963695,4343,0.0625,0.1148,0.1275,0.0995,0.1674,0.206,0.1717,0.1942,0.1625,0.177,0.3263,0.389,0.3637,0.2475,0.2159,0.231
chr11,6160871,6359168,6253490,2986,0.0301,0.1139,0.1318,0.1053,0.1749,0.2228,0.1823,0.216,0.171,0.1946,0.4381,0.4886,0.4525,0.2925,0.2289,0.2558
chr11,6315694,6325990,6336714,341,0.0405,0.0762,0.1434,0.0883,0.1917,0.2514,0.1424,0.2672,0.1801,0.2156,0.5551,0.486,0.3777,0.4388,0.3831,0.3196
chr11,6410453,6463170,6434872,674,0.0818,0.1075,0.1477,0.0859,0.1673,0.2381,0.1573,0.2597,0.1766,0.2259,0.2952,0.3697,0.3154,0.3609,0.3069,0.3387
chr11,6443630,6453741,6449801,199,0.0698,0.1066,0.1506,0.0887,0.1252,0.2328,0.1733,0.2274,0.1725,0.2323,0.1861,0.3776,0.3807,0.2952,0.2905,0.34
chr11,6525091,6553048,6538510,439,0.07,0.1138,0.1427,0.0949,0.1373,0.2246,0.1708,0.23,0.1713,0.2301,0.2121,0.3773,0.3561,0.302,0.2553,0.3373
chr11,6540082,6568352,6552834,340,0.0695,0.1149,0.1403,0.0897,0.1502,0.248,0.2015,0.2424,0.1816,0.2528,0.2555,0.4266,0.4424,0.3293,0.2939,0.3949
chr11,6561940,6611162,6586041,394,0.0773,0.108,0.1509,0.0811,0.1386,0.2295,0.1648,0.2235,0.1491,0.2128,0.2128,0.3557,0.3623,0.2837,0.237,0.315
chr11,6598922,6629854,6610575,293,0.059,0.0739,0.1457,0.0764,0.1138,0.221,0.1922,0.2197,0.1819,0.2155,0.2798,0.3873,0.4878,0.3532,0.4277,0.3418
chr11,6680334,6697259,6688736,205,0.0347,0.1065,0.1494,0.1237,0.1438,0.2556,0.1999,0.2387,0.1949,0.2283,0.3614,0.4921,0.4266,0.3206,0.2655,0.2641
chr11,6692882,6718119,6704150,271,0.0361,0.1095,0.132,0.125,0.1281,0.1742,0.1547,0.1977,0.1774,0.217,0.2928,0.369,0.3104,0.2581,0.2114,0.2672
chr11,6726013,6737283,6731784,72,0.0094,0.0936,0.135,0.0848,0.1155,0.2962,0.1721,0.2752,0.1432,0.2086,0.4037,0.6286,0.5568,0.4343,0.2432,0.3288
chr11,6728955,6772172,6756264,326,0.0331,0.0913,0.1339,0.0977,0.1105,0.2676,0.2327,0.2715,0.2286,0.2094,0.2976,0.546,0.5575,0.4349,0.427,0.3036
chr11,6739698,6750028,6761601,266,0.0383,0.0903,0.1352,0.0999,0.1096,0.2717,0.2492,0.2811,0.2471,0.2183,0.2775,0.5377,0.5639,0.4488,0.4556,0.3159
chr11,6767043,6780784,6774058,268,0.0699,0.0929,0.1422,0.0775,0.134,0.2898,0.2384,0.2692,0.2165,0.195,0.2605,0.4859,0.5389,0.4131,0.4514,0.2992
chr11,6772079,6797954,6783481,357,0.066,0.0787,0.143,0.1032,0.1154,0.2513,0.2007,0.2286,0.1834,0.2084,0.2452,0.4338,0.4124,0.3667,0.3444,0.2721
chr11,6788782,6811230,6798460,246,0.0358,0.0519,0.1436,0.1491,0.0738,0.2561,0.2284,0.249,0.2225,0.2805,0.271,0.5028,0.4162,0.4577,0.3746,0.3253
